province,city_name,一九九七,一九九八,一九九九,二零零零,二零零一,二零零二,二零零三,二零零四,二零零五,二零零六,二零零七,二零零八,二零零九,二零一零,二零一一,二零一二,二零一三,总计
贵州,安顺,27.88,28.11,30.65,33.4,36.65,41.32,46.5,52.18,62.87,74.22,85.69,101.43,118.18,136.94,171.82,227.69,270.15,1545.68
贵州,毕节,98.71,111.99,122.27,126.14,128.32,143.08,165.68,205.68,232.46,275.7,337.86,407.41,499.15,588.75,729.08,884.24,1055.44,6111.96
贵州,贵阳,41.98,45.28,50.22,56.71,64.83,74.32,86.11,104.38,118.82,138.88,165.66,208.66,224.96,253.93,321.32,402.62,494.07,2852.75
贵州,六盘水,38.59,41.17,44.81,48.29,53.83,73.88,69.77,90.5,128.83,158.8,186.42,199.25,274.41,335.6,406.91,504.53,602.6,3258.19
贵州,黔东南,56.49,63.94,70.12,78.35,83.65,89.15,103.41,118.97,142.71,164.51,194.15,226.71,268.2,319.66,389.51,496.4,597.19,3463.12
贵州,黔南,84,91.9,97.8,105.16,103.62,114.59,130.1,152.03,170.76,197.14,234.77,276.53,307.88,370.75,450.26,563.4,658.35,4109.04
贵州,黔西南,45.64,50.03,54.76,60.13,67.76,77.43,86.14,104.23,126.47,152,183.04,221.23,278.59,331.31,383.32,480.06,569.82,3271.96
贵州,铜仁,52.21,55.29,58.69,63.8,68.61,75.53,88.28,103.4,129.26,148.73,156.21,213.33,245.2,293.71,362,456.77,543.88,3114.9
贵州,遵义,142.19,152.12,166.97,179.21,192.39,211.59,221.51,261.97,284.46,321.59,392.84,453.24,537.75,651.54,801.57,971.34,1162.12,7104.4
贵州,汇总,587.69,639.83,696.29,751.19,799.66,900.89,997.5,1193.34,1396.64,1631.57,1936.64,2307.79,2754.32,3282.19,4015.79,4987.05,5953.62,34832
海南,海南省,241.5,267.41,283.97,311.1,323.42,352.42,377.63,441.99,475.6,494.36,620.92,757.22,826.92,1217.67,1266.53,1430.11,1595.21,11283.98
海南,汇总,241.5,267.41,283.97,311.1,323.42,352.42,377.63,441.99,475.6,494.36,620.92,757.22,826.92,1217.67,1266.53,1430.11,1595.21,11283.98
河北,保定,460.53,505.43,510.04,548.18,591.65,648.86,714.7,853.14,840.36,926.04,1016.09,1124.59,1216.07,1466.07,1714.66,1904.33,2071.52,17112.26
河北,沧州,349.98,392.68,397.47,435.63,460.5,493.5,577.62,700.76,958.83,1154.73,1302.29,1429.91,1409.98,1693.27,2046.37,2249.13,2409.3,18461.95
河北,承德,111.23,122.34,112.92,109.75,121.44,132.36,152.23,205.68,259.13,316.54,412.26,554.74,551.5,658.37,824.15,893.56,981.37,6519.57
河北,邯郸,319.93,345.76,358.98,381.21,415.55,452.81,556.55,723.44,896.92,1072.06,1313.17,1561.21,1551.2,1853.86,2203.95,2437.54,2389.94,18834.08
河北,衡水,196.39,213.61,224.99,239.2,257.66,278.06,328.96,387.71,431.15,438.8,432.78,490.89,497.48,590.88,717.97,785.46,818.24,7330.23
河北,廊坊,233.17,260.39,279.15,306.08,332.99,369.43,415.07,483.31,501.92,581.69,717.35,841.09,863.09,1016.77,1221.73,1352.31,1455.34,11230.88
河北,秦皇岛,98.8,109.04,107.36,108.45,115.8,123.86,140.63,169.51,197.54,240.75,287.37,342.95,338.38,399.15,496.69,530.93,544.63,4351.84
河北,石家庄,553.99,613.61,658.32,688.24,696.27,757.84,872.61,1048.19,1134.7,1314.6,1578.38,1888.12,1970.29,2250.38,2744.36,3038.46,3258.99,25067.35
河北,唐山,476.48,535.18,575.51,630.86,688.45,749.53,933.23,1153.63,1448.76,1897.9,2134.15,2024.31,2136.21,3469.1,2896.08,3069.82,4912.86,29732.06
河北,邢台,289.84,313.79,332.33,349.82,358.83,390.08,457.29,543.61,571.54,675.57,787.83,872.28,865.55,987.96,1131.59,1232.41,1322.9,11483.22
河北,张家口,120.38,134.21,120.33,127.38,128.5,139.13,159.72,192.24,233.35,277.33,322.79,421.16,463.45,571.65,686.37,769.7,838.6,5706.29
河北,汇总,3210.72,3546.04,3677.4,3924.8,4167.64,4535.46,5308.61,6461.22,7474.2,8896.01,10304.46,11551.25,11863.2,14957.46,16683.92,18263.65,21003.69,155829.73
河南,安阳,139.82,140.39,144.72,155.66,170.15,185.6,203.49,268.91,360.33,441.74,564.43,734.63,813.72,949.9,1085.44,1171.01,1234.01,8763.95
河南,鹤壁,36.02,35.59,38.84,43.46,47.1,51.22,60.36,79.62,95.5,115.47,138.47,168.22,182.58,206.94,246.99,267.42,311.89,2125.69
河南,焦作,191.83,194.56,157.26,162.48,181.92,204.19,258.14,336.68,457.98,559.58,692.23,829.41,853.98,994.97,1158.09,1210.29,1336.29,9779.88
河南,开封,123.82,137.24,144.8,165.13,184.32,197.11,198.27,252.27,311.74,364.98,424.49,525.16,590.88,708.81,823.92,933.82,1058.45,7145.21
河南,洛阳,169.63,193.77,204,223.46,243.92,286.96,367.08,503.25,677.07,822.45,1040.76,1256.49,1313.61,1507.48,1760.18,1921.86,1918.25,14410.22
河南,漯河,95.87,105.84,113.63,122.9,136.09,149.11,158.9,190.26,180.85,215.32,241.78,227.23,247.66,417.75,459.79,325.1,514.2,3902.28
河南,南阳,327.34,353.63,371.54,391.18,434.84,473.69,539.71,680.24,811.87,950.72,1090.95,1291.99,1329.34,1504.2,1690.3,1794.54,1904.88,15940.96
河南,平顶山,137.71,151.89,161.34,173.74,189.94,204.87,233.55,299.51,358.58,440.19,540.46,693.35,721.94,831.19,958.73,1045.58,1105.03,8247.6
河南,濮阳,83.95,89.54,95.19,97.64,109.41,120.74,128.07,162.45,206.81,243.1,303.2,390.88,444.27,523.27,593.86,655.08,770.83,5018.29
河南,三门峡,110.43,118.24,124.72,137.06,146,163.08,186.24,229.67,286.33,350.38,432.01,574.72,605.04,759.99,899.98,983.58,1051.09,7158.56
河南,商丘,168.07,176.98,193.71,210.31,235.38,256.36,247.45,337.75,427.85,495.85,593.93,727.91,798.71,907.54,1046.64,1116.96,1236.75,9178.15
河南,新乡,183.51,191.91,192.62,206.54,221.06,239.79,260.94,316.84,374.51,436.2,538.35,676.1,722.38,861.91,1060.05,1111.84,1199.59,8794.14
河南,信阳,156.26,167.84,173.46,189.86,190.89,223.64,244.65,315.59,375.41,431.9,512.07,640.89,694.35,814.97,936.88,1043.06,1179.96,8291.68
河南,许昌,192.39,212.9,224.94,250.91,276.62,308.38,349.45,440.71,527.07,631.98,760.48,935.5,967.4,1114.24,1337.33,1445.37,1606.58,11582.25
河南,郑州,323.45,349.26,366.12,394.21,440.06,486.13,572.48,707.88,897.42,1115.84,1387.17,1727.68,1825.02,2145.23,2686.32,2944.27,3269.83,21638.37
河南,周口,258.32,272.87,291.65,314.45,343.3,378.85,366.95,465.53,538.69,615.45,725.99,895.19,976.7,1123.55,1267.69,1428.26,1623.9,11887.34
河南,驻马店,194.53,209.86,223.41,241.14,262.55,278.64,288.59,370.1,414.01,468.65,549.43,674.23,743.99,876.5,1036.47,1145.32,1281.23,9258.65
河南,汇总,2937.85,3148.94,3275.48,3539.55,3879.5,4287.98,4758.51,6077.81,7445.85,8880.83,10759.61,13257.93,14119.18,16591.82,19422.02,20983.46,23062.89,166429.21
黑龙江,大庆,45.4,39.41,47.85,40.76,45.66,55.65,62.92,73.6,74.24,87.92,101.37,130.75,186.97,266.97,368.67,447.42,562.05,2637.61
黑龙江,大兴安岭,16.33,23.93,19.72,18.37,19.82,21.7,24.46,26.57,20.98,23.73,28.05,33.91,41.4,52.4,67.13,80.01,90.58,609.09
黑龙江,哈尔滨,316.57,350,372.33,403.46,435.48,451.06,514.14,598.12,603.07,682.99,861.74,806.93,903.28,1082.9,1517.74,1538.29,2047.48,13485.58
黑龙江,鹤岗,15.4,28.09,29.61,11.26,12.46,13.06,13.16,46.41,39.7,44.26,50.36,24.43,67.59,86.8,112.65,139.41,54.64,789.29
黑龙江,黑河,43.97,62.93,56.43,36.28,53.58,42.59,45.3,73.64,90.52,94.48,115.76,167.95,191.68,228.18,246.59,298.25,276.48,2124.61
黑龙江,鸡西,56.37,70.36,74.55,67.8,67.29,62.52,67.12,84.04,85.38,94.19,111.24,188.87,214.31,255.97,229.1,272.11,271.4,2272.62
黑龙江,佳木斯,53.78,69.02,69.82,54.52,60.67,66.37,72.55,96.05,109.8,115.82,138.76,215.27,255.79,322.96,327.97,404.11,425.17,2858.43
黑龙江,牡丹江,96.32,110.33,114.48,122.82,136.35,141.74,159.41,182.81,196.61,238.24,293.88,361.06,427.99,529.5,664.32,783.22,872.89,5431.97
